AGAN,-9.9312,149.3881
BASI,-9.4657,150.8325
BAYA,-9.6057,149.4745
BBU,-9.3763,150.3621
DIOD,-9.4385,150.1856
ESA2,-9.7399,150.8162
GARU,-10.2205,150.4848
GOGO,-10.3383,149.6719
GUMA,-9.2247,150.8703
IAME,-9.5096,150.5265
JONE,-10.0946,150.1024
KAPU,-9.2864,150.7803
KAWA,-8.522,150.2997
KIR,-8.5073,151.0849
LITA,-8.5247,150.0473
MAPA,-9.6104,150.4375
MAYA,-9.9483,150.8808
MENA,-9.7569,149.9355
MOKI,-9.4365,150.6685
PEMM,-9.6207,149.7943
PMNI,-9.7562,149.4671
SAGI,-10.4376,150.1513
SIDA,-9.6343,150.5983
SIMS,-8.4195,150.4398
SINA,-8.6778,151.0901
SIRI,-9.8439,149.7088
VAKU,-8.8523,151.184
WAIB,-9.2442,150.1383
WALA,-10.2734,150.7889
WANI,-9.3378,149.1547
WAPO,-9.3548,150.5324
KAW2,-8.5224,150.2994
KEIA,-10.2123,150.5537
TAWA,-10.2683,150.7739
MAPM,-9.6113,150.4354
B,-9.7494,150.3505
D,-9.9434,150.707
E,-10.0805,150.6213
F,-9.9505,150.2004
I,-9.4667,149.9295
G,-9.3332,149.6668
H,-8.9998,149.6677
J,-8.8702,149.9335

